corriente_A,numero_de_minimos
3.07, 0
2.14, 1
1.81, 1
1.55, 1
1.20, 1
0.93, 1
0.74, 1
0.55, 1
0.42, 1
0.35, 1
0.27, 1
0.20, 1
0.16, 1
