Corriente,Voltaje_Longitudinal,Voltaje_Hall
-0.030,-1.238,-0.0798
-0.025,-1.047,-0.0682
-0.020,-0.826,-0.0547
-0.015,-0.660,-0.0447
-0.010,-0.474,-0.0333
-0.005,-0.260,-0.0204
0.000,-0.068,-0.0088
0.005,0.159,0.0051
0.010,0.332,0.0156
0.015,0.545,0.0285
0.020,0.734,0.0400
0.025,0.922,0.0514
0.030,1.140,0.0645
