Corriente,Voltaje_Longitudinal,Voltaje_Hall
-0.030,-1.482,0.010
-0.020,-1.058,0.070
-0.010,-0.546,0.040
0.000,-0.133,0.015
0.010,0.449,-0.019
0.020,0.869,-0.045
0.030,1.248,-0.074
