Corriente,Voltaje_Longitudinal,Voltaje_Hall
-0.030,-1.115,0.031
-0.020,-0.791,0.022
-0.010,-0.403,0.011
0.000,-0.014,0.0005
0.010,0.325,-0.009
0.020,0.692,-0.019
0.030,1.041,-0.029
