Corriente,Voltaje_Longitudinal,Voltaje_Hall
-0.030,-1.102,0.011
-0.020,-0.762,0.008
-0.010,-0.422,0.004
0.000,-0.032,0.0004
0.010,0.335,-0.003
0.020,0.670,-0.007
0.030,1.002,-0.010
