Corriente,Voltaje_Longitudinal,Voltaje_Hall
0.030,0.004,-0.0302
0.025,0.003,-0.0265
0.020,0.003,-0.0231
0.015,0.003,-0.0196
0.010,0.003,-0.0165
0.005,0.003,-0.0125
0.000,0.003,-0.0092
-0.005,0.003,-0.0050
-0.010,0.003,-0.0012
-0.015,0.003,0.0016
-0.020,0.003,0.0054
-0.025,0.003,0.0091
-0.030,0.003,0.0121
