Corriente,Voltaje_Longitudinal,Voltaje_Hall
-0.030,-1.401,0.072
-0.020,-0.936,0.051
-0.010,-0.484,0.030
0.000,-0.114,0.013
0.010,0.376,-0.010
0.020,0.796,-0.030
0.030,1.236,-0.051
