theta/Grads,R(35kV)/Imp/s
42.1,308.0
42.2,230.0
42.3,207.0
42.4,211.0
42.5,203.0
42.6,192.0
42.7,209.0
42.8,195.0
42.9,205.0
43.0,210.0
43.1,209.0
43.2,192.0
43.3,195.0
43.4,192.0
43.5,202.0
43.6,211.0
43.7,193.0
43.8,197.0
43.9,204.0
44.0,186.0
44.1,215.0
44.2,186.0
44.3,204.0
44.4,201.0
44.5,187.0
44.6,205.0
44.7,194.0
44.8,203.0
44.9,191.0
45.0,190.0
45.1,189.0
45.2,193.0
45.3,199.0
45.4,201.0
45.5,200.0
45.6,208.0
45.7,214.0
45.8,187.0
45.9,204.0
46.0,204.0
46.1,186.0
46.2,201.0
46.3,201.0
46.4,205.0
46.5,192.0
46.6,194.0
46.7,204.0
46.8,200.0
46.9,196.0
47.0,191.0
47.1,214.0
47.2,210.0
47.3,229.0
47.4,229.0
47.5,234.0
47.6,240.0
47.7,246.0
47.8,282.0
47.9,415.0
48.0,1225.0
48.1,1559.0
48.2,1758.0
48.3,1033.0
48.4,616.0
48.5,294.0
48.6,263.0
48.7,243.0
48.8,241.0
48.9,215.0
49.0,227.0
49.1,216.0
49.2,195.0
49.3,201.0
49.4,212.0
49.5,209.0
49.6,215.0
49.7,203.0
49.8,198.0
49.9,208.0
50.0,196.0
50.1,191.0
50.2,186.0
50.3,188.0
50.4,185.0
50.5,203.0
50.6,204.0
50.7,198.0
50.8,201.0
50.9,191.0
51.0,200.0
51.1,199.0
51.2,199.0
51.3,205.0
51.4,194.0
51.5,204.0
51.6,188.0
51.7,205.0
51.8,184.0
51.9,213.0
52.0,194.0
52.1,196.0
52.2,200.0
52.3,196.0
52.4,204.0
52.5,213.0
52.6,176.0
52.7,206.0
52.8,199.0
52.9,191.0
53.0,198.0
53.1,178.0
53.2,192.0
53.3,202.0
53.4,196.0
53.5,202.0
53.6,198.0
53.7,211.0
53.8,195.0
53.9,206.0
54.0,194.0
54.1,188.0
54.2,216.0
54.3,201.0
54.4,204.0
54.5,197.0
54.6,199.0
54.7,195.0
54.8,184.0
54.9,188.0
55.0,191.0
