2*theta/Grads,R(35kV)/Imp/s,Corriente/mA
37.0,195.0,0.5
37.2,191.0,0.5
37.4,204.0,0.5
37.5,194.0,0.5
37.8,196.0,0.5
38.0,179.0,0.5
38.2,192.0,0.5
38.4,190.0,0.5
38.6,179.0,0.5
38.8,193.0,0.5
39.0,175.0,0.5
39.2,189.0,0.5
39.4,215.0,0.5
39.5,268.0,0.5
39.8,780.0,0.5
40.0,785.0,0.5
40.2,2120.0,0.5
40.4,3413.0,0.5
40.5,2917.0,0.5
40.8,1450.0,0.5
41.0,381.0,0.5
41.2,252.0,0.5
41.4,229.0,0.5
41.5,226.0,0.5
41.8,192.0,0.5
42.0,192.0,0.5
42.2,193.0,0.5
42.4,171.0,0.5
42.6,168.0,0.5
42.8,166.0,0.5
43.0,166.0,0.5
43.2,154.0,0.5
43.4,162.0,0.5
43.6,154.0,0.5
43.8,161.0,0.5
44.0,167.0,0.5
44.2,163.0,0.5
44.4,166.0,0.5
44.5,162.0,0.5
44.8,141.0,0.5
45.0,143.0,0.5
45.2,153.0,0.5
45.4,146.0,0.5
45.5,145.0,0.5
45.8,133.0,0.5
46.0,132.0,0.5
46.2,133.0,0.5
46.4,140.0,0.5
46.5,126.0,0.5
46.8,138.0,0.5
47.0,149.0,0.5
47.2,137.0,0.5
47.4,148.0,0.5
47.6,142.0,0.5
47.8,132.0,0.5
48.0,124.0,0.5
32.0,191.0,0.6
32.2,208.0,0.6
32.4,203.0,0.6
32.5,179.0,0.6
32.8,207.0,0.6
33.0,202.0,0.6
33.2,227.0,0.6
33.4,204.0,0.6
33.6,225.0,0.6
33.8,212.0,0.6
34.0,213.0,0.6
34.2,206.0,0.6
34.4,208.0,0.6
34.5,213.0,0.6
34.8,217.0,0.6
35.0,226.0,0.6
35.2,338.0,0.6
35.4,348.0,0.6
35.5,390.0,0.6
35.8,1096.0,0.6
36.0,952.0,0.6
36.2,721.0,0.6
36.4,290.0,0.6
36.5,264.0,0.6
36.8,252.0,0.6
37.0,232.0,0.6
37.2,234.0,0.6
37.4,242.0,0.6
37.5,246.0,0.6
37.8,221.0,0.6
38.0,227.0,0.6
38.2,215.0,0.6
38.4,217.0,0.6
38.6,207.0,0.6
38.8,208.0,0.6
39.0,229.0,0.6
39.2,244.0,0.6
39.4,247.0,0.6
39.5,306.0,0.6
