Corriente,Voltaje_Longitudinal,Voltaje_Hall
0.035,0.344,-0.001
0.055,0.345,-0.004
0.075,0.346,-0.006
0.099,0.350,-0.009
0.124,0.353,-0.012
0.152,0.356,-0.014
0.177,0.359,-0.016
