Corriente,Voltaje_Longitudinal,Voltaje_Hall
0.009,0.375,-0.004
0.047,0.374,-0.009
0.096,0.378,-0.017
0.123,0.380,-0.020
0.154,0.383,-0.025
0.195,0.385,-0.030
0.225,0.389,-0.033
