Corriente,Voltaje_Longitudinal,Voltaje_Hall
0.15,-0.064,-0.010
0.28,-0.064,-0.010
0.37,-0.064,-0.010
0.46,-0.064,-0.010
0.52,-0.064,-0.009
0.64,-0.064,-0.009
0.83,-0.065,-0.009
0.94,-0.065,-0.009
1.07,-0.065,-0.008
1.24,-0.066,-0.008
1.43,-0.066,-0.008
1.68,-0.067,-0.007
1.80,-0.067,-0.007
1.93,-0.068,-0.007
2.25,-0.068,-0.007
2.48,-0.068,-0.007
2.80,-0.069,-0.007
3.01,-0.069,-0.007
