Corriente,Voltaje_Longitudinal,Voltaje_Hall
0.017,-0.935,0.0002
0.057,-0.939,0.013
0.086,-0.945,0.025
0.105,-0.949,0.028
0.124,-0.955,0.033
0.150,-0.963,0.040
0.185,-0.974,0.047
