Corriente,Voltaje_Longitudinal,Voltaje_Hall
0.015,-0.417,-0.001
0.040,-0.417,-0.003
0.077,-0.417,0.008
0.098,-0.419,0.011
0.124,-0.422,0.014
0.140,-0.425,0.016
0.172,-0.429,0.020
